village_code,province_code,province_name,city_code,city_name,district_code,district_name,village_name,postal_code,postal_code_candidate,candidate_status,candidate_sources,postal_code_diskominfo,postal_code_open_data_jabar,postal_code_kodepos_dev,postal_candidates,verification_status,confidence,review_required,selected_reason,administrative_resolution_applied,former_village_code,source_village_codes,source_ids,source_rows,snapshot
32.01.02.2001,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,WANAHERANG,16965,,,,16965,16965,16965,16965,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2001;open_data_jabar:32.01.02.2001;kodepos_dev:32.01.02.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:15;open_data_jabar:17363;kodepos_dev:15,2026-08-11
32.01.02.2002,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,BOJONG KULUR,16969,,,,16969,16969,16969,16969,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2002;open_data_jabar:32.01.02.2002;kodepos_dev:32.01.02.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:16;open_data_jabar:17364;kodepos_dev:16,2026-08-11
32.01.02.2003,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,CIANGSANA,16968,,,,16968,16968,16968,16968,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2003;open_data_jabar:32.01.02.2003;kodepos_dev:32.01.02.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:17;open_data_jabar:17365;kodepos_dev:17,2026-08-11
32.01.02.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,GUNUNG PUTRI,16961,,,,16961,16961,16961,16961,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2004;open_data_jabar:32.01.02.2004;kodepos_dev:32.01.02.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:18;open_data_jabar:17366;kodepos_dev:18,2026-08-11
32.01.02.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,BOJONG NANGKA,16963,,,,16963,16963,16963,16963,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2005;open_data_jabar:32.01.02.2005;kodepos_dev:32.01.02.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:19;open_data_jabar:17367;kodepos_dev:19,2026-08-11
32.01.02.2006,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,TLAJUNG UDIK,16962,,,,16962,16962,16962,16962,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2006;open_data_jabar:32.01.02.2006;kodepos_dev:32.01.02.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:20;open_data_jabar:17368;kodepos_dev:20,2026-08-11
32.01.02.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,CICADAS,16964,,,,16964,16964,16964,16964,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2007;open_data_jabar:32.01.02.2007;kodepos_dev:32.01.02.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:21;open_data_jabar:17369;kodepos_dev:21,2026-08-11
32.01.02.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,CIKEAS UDIK,16966,,,,16966,16966,16966,16966,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2008;open_data_jabar:32.01.02.2008;kodepos_dev:32.01.02.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:22;open_data_jabar:17371;kodepos_dev:22,2026-08-11
32.01.02.2009,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.02,GUNUNG PUTRI,NAGRAK,16967,,,,16967,16967,16967,16967,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.02.2009;open_data_jabar:32.01.02.2009;kodepos_dev:32.01.02.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:23;open_data_jabar:17372;kodepos_dev:23,2026-08-11
32.01.13.1007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.13,BOJONG GEDE,PABUARAN,16921,,,,16921,16921,16921,16921,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.13.1007;open_data_jabar:32.01.13.1007;kodepos_dev:32.01.13.1007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:141;open_data_jabar:17496;kodepos_dev:135,2026-08-11
32.01.13.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.13,BOJONG GEDE,KEDUNGWARINGIN,16923,,,,16923,16923,16923,16923,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.13.2005;open_data_jabar:32.01.13.2005;kodepos_dev:32.01.13.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:139;open_data_jabar:17501;kodepos_dev:140,2026-08-11
32.01.16.2004,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.16,CIBUNGBULANG,CIBATOK I,16630,,,,16630,16630,16630,16630,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.16.2004;open_data_jabar:32.01.16.2004;kodepos_dev:32.01.16.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:171;open_data_jabar:17535;kodepos_dev:171,2026-08-11
32.01.16.2007,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.16,CIBUNGBULANG,CIMANGGU I,16630,,,,16630,16630,16630,16630,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.16.2007;open_data_jabar:32.01.16.2007;kodepos_dev:32.01.16.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:174;open_data_jabar:17539;kodepos_dev:174,2026-08-11
32.01.16.2008,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.16,CIBUNGBULANG,CIMANGGU II,16630,,,,16630,16630,16630,16630,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.16.2008;open_data_jabar:32.01.16.2008;kodepos_dev:32.01.16.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:175;open_data_jabar:17540;kodepos_dev:175,2026-08-11
32.01.16.2012,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.16,CIBUNGBULANG,CIBATOK II,16630,,,,16630,16630,16630,16630,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.16.2012;open_data_jabar:32.01.16.2012;kodepos_dev:32.01.16.2012,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:179;open_data_jabar:17544;kodepos_dev:179,2026-08-11
32.01.24.2005,32,JAWA BARAT,32.01,KAB. BOGOR,32.01.24,CIAWI,BANJARSARI,16720,,,,16720,16720,16720,16720,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.01.24.2005;open_data_jabar:32.01.24.2005;kodepos_dev:32.01.24.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:278;open_data_jabar:17654;kodepos_dev:278,2026-08-11
32.02.02.2001,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.02,SIMPENAN,CIDADAP,43361,,,,43361,43361,43361,43361,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.02.2001;open_data_jabar:32.02.02.2001;kodepos_dev:32.02.02.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:447;open_data_jabar:17843;kodepos_dev:447,2026-08-11
32.02.02.2002,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.02,SIMPENAN,LOJI,43361,,,,43361,43361,43361,43361,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.02.2002;open_data_jabar:32.02.02.2002;kodepos_dev:32.02.02.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:448;open_data_jabar:17844;kodepos_dev:448,2026-08-11
32.02.02.2003,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.02,SIMPENAN,KERTAJAYA,43361,,,,43361,43361,43361,43361,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.02.2003;open_data_jabar:32.02.02.2003;kodepos_dev:32.02.02.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:449;open_data_jabar:17845;kodepos_dev:449,2026-08-11
32.02.02.2004,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.02,SIMPENAN,CIHAUR,43361,,,,43361,43361,43361,43361,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.02.2004;open_data_jabar:32.02.02.2004;kodepos_dev:32.02.02.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:450;open_data_jabar:17846;kodepos_dev:450,2026-08-11
32.02.02.2005,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.02,SIMPENAN,CIBUNTU,43361,,,,43361,43361,43361,43361,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.02.2005;open_data_jabar:32.02.02.2005;kodepos_dev:32.02.02.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:451;open_data_jabar:17847;kodepos_dev:451,2026-08-11
32.02.02.2006,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.02,SIMPENAN,MEKARASIH,43361,,,,43361,43361,43361,43361,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.02.2006;open_data_jabar:32.02.02.2006;kodepos_dev:32.02.02.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:452;open_data_jabar:17849;kodepos_dev:452,2026-08-11
32.02.02.2007,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.02,SIMPENAN,SANGRAWAYANG,43361,,,,43361,43361,43361,43361,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.02.2007;open_data_jabar:32.02.02.2007;kodepos_dev:32.02.02.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:453;open_data_jabar:17850;kodepos_dev:453,2026-08-11
32.02.03.2001,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.03,CIKAKAK,CIKAKAK,43365,,,,43365,43365,43365,43365,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.03.2001;open_data_jabar:32.02.03.2001;kodepos_dev:32.02.03.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:454;open_data_jabar:17851;kodepos_dev:454,2026-08-11
32.02.03.2002,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.03,CIKAKAK,CIMAJA,43365,,,,43365,43365,43365,43365,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.03.2002;open_data_jabar:32.02.03.2002;kodepos_dev:32.02.03.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:455;open_data_jabar:17852;kodepos_dev:455,2026-08-11
32.02.03.2003,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.03,CIKAKAK,RIDOGALIH,43365,,,,43365,43365,43365,43365,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.03.2003;open_data_jabar:32.02.03.2003;kodepos_dev:32.02.03.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:456;open_data_jabar:17853;kodepos_dev:456,2026-08-11
32.02.03.2005,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.03,CIKAKAK,CILEUNGSING,43365,,,,43365,43365,43365,43365,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.03.2005;open_data_jabar:32.02.03.2005;kodepos_dev:32.02.03.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:458;open_data_jabar:17855;kodepos_dev:458,2026-08-11
32.02.03.2006,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.03,CIKAKAK,MARGALAKSANA,43365,,,,43365,43365,43365,43365,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.03.2006;open_data_jabar:32.02.03.2006;kodepos_dev:32.02.03.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:459;open_data_jabar:17856;kodepos_dev:459,2026-08-11
32.02.03.2007,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.03,CIKAKAK,SIRNARASA,43365,,,,43365,43365,43365,43365,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.03.2007;open_data_jabar:32.02.03.2007;kodepos_dev:32.02.03.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:460;open_data_jabar:17857;kodepos_dev:460,2026-08-11
32.02.03.2008,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.03,CIKAKAK,GANDASOLI,43365,,,,43365,43365,43365,43365,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.03.2008;open_data_jabar:32.02.03.2008;kodepos_dev:32.02.03.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:461;open_data_jabar:17858;kodepos_dev:461,2026-08-11
32.02.03.2009,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.03,CIKAKAK,CIRENDANG,43365,,,,43365,43365,43365,43365,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.03.2009;open_data_jabar:32.02.03.2009;kodepos_dev:32.02.03.2009,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:462;open_data_jabar:17860;kodepos_dev:462,2026-08-11
32.02.04.2001,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.04,BANTARGADUNG,BANTARGADUNG,43363,,,,43363,43363,43363,43363,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.04.2001;open_data_jabar:32.02.04.2001;kodepos_dev:32.02.04.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:463;open_data_jabar:17861;kodepos_dev:463,2026-08-11
32.02.04.2002,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.04,BANTARGADUNG,MANGUNJAYA,43363,,,,43363,43363,43363,43363,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.04.2002;open_data_jabar:32.02.04.2002;kodepos_dev:32.02.04.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:464;open_data_jabar:17862;kodepos_dev:464,2026-08-11
32.02.04.2003,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.04,BANTARGADUNG,BOJONGGALING,43363,,,,43363,43363,43363,43363,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.04.2003;open_data_jabar:32.02.04.2003;kodepos_dev:32.02.04.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:465;open_data_jabar:17863;kodepos_dev:465,2026-08-11
32.02.04.2004,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.04,BANTARGADUNG,LIMUSNUNGGAL,43363,,,,43363,43363,43363,43363,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.04.2004;open_data_jabar:32.02.04.2004;kodepos_dev:32.02.04.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:466;open_data_jabar:17864;kodepos_dev:466,2026-08-11
32.02.04.2005,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.04,BANTARGADUNG,BANTARGEBANG,43363,,,,43363,43363,43363,43363,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.04.2005;open_data_jabar:32.02.04.2005;kodepos_dev:32.02.04.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:467;open_data_jabar:17865;kodepos_dev:467,2026-08-11
32.02.04.2006,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.04,BANTARGADUNG,BUANAJAYA,43363,,,,43363,43363,43363,43363,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.04.2006;open_data_jabar:32.02.04.2006;kodepos_dev:32.02.04.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:468;open_data_jabar:17866;kodepos_dev:468,2026-08-11
32.02.04.2007,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.04,BANTARGADUNG,BOYONG SARI,43363,,,,43363,43363,43363,43363,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.04.2007;open_data_jabar:32.02.04.2007;kodepos_dev:32.02.04.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:469;open_data_jabar:17867;kodepos_dev:469,2026-08-11
32.02.05.2001,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.05,CISOLOK,CISOLOK,43366,,,,43366,43366,43366,43366,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.05.2001;open_data_jabar:32.02.05.2001;kodepos_dev:32.02.05.2001,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:470;open_data_jabar:17868;kodepos_dev:470,2026-08-11
32.02.05.2002,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.05,CISOLOK,PASIR BARU,43366,,,,43366,43366,43366,43366,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.05.2002;open_data_jabar:32.02.05.2002;kodepos_dev:32.02.05.2002,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:471;open_data_jabar:17869;kodepos_dev:471,2026-08-11
32.02.05.2003,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.05,CISOLOK,CIKAHURIPAN,43366,,,,43366,43366,43366,43366,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.05.2003;open_data_jabar:32.02.05.2003;kodepos_dev:32.02.05.2003,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:472;open_data_jabar:17871;kodepos_dev:472,2026-08-11
32.02.05.2004,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.05,CISOLOK,CIKELAT,43366,,,,43366,43366,43366,43366,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.05.2004;open_data_jabar:32.02.05.2004;kodepos_dev:32.02.05.2004,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:473;open_data_jabar:17872;kodepos_dev:473,2026-08-11
32.02.05.2005,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.05,CISOLOK,CARINGIN,43366,,,,43366,43366,43366,43366,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.05.2005;open_data_jabar:32.02.05.2005;kodepos_dev:32.02.05.2005,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:474;open_data_jabar:17873;kodepos_dev:474,2026-08-11
32.02.05.2006,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.05,CISOLOK,GUNUNGKARAMAT,43366,,,,43366,43366,43366,43366,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.05.2006;open_data_jabar:32.02.05.2006;kodepos_dev:32.02.05.2006,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:475;open_data_jabar:17874;kodepos_dev:475,2026-08-11
32.02.05.2007,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.05,CISOLOK,GUNUNGTANJUNG,43366,,,,43366,43366,43366,43366,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.05.2007;open_data_jabar:32.02.05.2007;kodepos_dev:32.02.05.2007,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:476;open_data_jabar:17875;kodepos_dev:476,2026-08-11
32.02.05.2008,32,JAWA BARAT,32.02,KAB. SUKABUMI,32.02.05,CISOLOK,KARANGPAPAK,43366,,,,43366,43366,43366,43366,verified_consensus,high,no,All three source values are the same valid five-digit postal code.,no,,diskominfo:32.02.05.2008;open_data_jabar:32.02.05.2008;kodepos_dev:32.02.05.2008,diskominfo_jabar_village_2024_unreviewed;open_data_jabar_postal_2023;kodepos_dev_rest_api,diskominfo:477;open_data_jabar:17876;kodepos_dev:477,2026-08-11
